Packages,x86_64,x86,armv7,armv7hf,Visual Studio 12,Visual Studio 14,Visual Studio 15,Visual Studio 16,apple-clang 10.0,apple-clang 7.3,apple-clang 8.0,apple-clang 8.1,apple-clang 9.0,apple-clang 9.1,clang 3.9,clang 4.0,clang 5.0,clang 6.0,clang 7.0,clang 8,gcc 4.6,gcc 4.8,gcc 4.9,gcc 5,gcc 6,gcc 6.3,gcc 7,gcc 7.1,gcc 8,gcc 9,Linux,Macos,Windows,Total
EXPRTK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
FSWATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQLITE_ORM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LIBUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSGPACK,161,68,0,0,12,14,18,13,6,4,0,4,4,4,8,8,8,8,10,0,0,0,19,10,13,0,16,0,50,0,134,22,73,979
SNAPPY,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,41,0,20,0,74,0,1,75
HARFBUZZ,3767,2972,0,0,0,647,748,18,284,10,0,25,29,121,469,440,456,470,119,16,0,0,508,499,576,0,687,0,617,0,4539,469,1731,6739
DOUBLE-CONVERSION,3061,2473,0,0,0,566,653,0,253,0,0,0,4,119,372,339,354,349,0,0,0,0,448,418,485,0,570,0,604,0,3518,376,1640,5534
GTEST,12647,665,0,0,8,973,2298,0,293,8,3,7,64,271,31,41,66,114,36,0,0,37,198,1475,211,0,4841,0,2337,0,9381,646,3285,13312
GETOPT,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LIBTIFF,2923,2123,0,0,124,408,661,76,154,15,0,52,54,56,261,258,259,342,266,32,0,0,171,362,503,0,495,0,460,37,3430,331,1285,5046
ARDUINOJSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
LIBLINEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
